bin/cat/cat.1|cat|bin/cat|cat|concatenate and print files
bin/chflags/chflags.1|chflags|bin/chflags|chflags|change file flags
bin/chio/chio.1|chio|bin/chio|chio|medium changer control utility
bin/chmod/chmod.1|chmod|bin/chmod|chmod|change file modes
bin/cp/cp.1|cp|bin/cp|cp|copy files
bin/cpuset/cpuset.1|cpuset|bin/cpuset|cpuset|configure processor sets
bin/date/date.1|date|bin/date|date|display or set date and time
bin/dd/dd.1|dd|bin/dd|dd|convert and copy a file
bin/df/df.1|df|bin/df|df|display free disk space
bin/domainname/domainname.1|domainname|bin/domainname|domainname|set or print name of current YP/NIS domain
bin/echo/echo.1|echo|bin/echo|echo|write arguments to the standard output
bin/ed/ed.1|ed|bin/ed|ed, red|text editor
bin/expr/expr.1|expr|bin/expr|expr|evaluate expression
bin/freebsd-version/freebsd-version.1|freebsd-version|bin/freebsd-version|freebsd-version|print the version and patch level of the installed system
bin/getfacl/getfacl.1|getfacl|bin/getfacl|getfacl|get ACL information
bin/hostname/hostname.1|hostname|bin/hostname|hostname|set or print the name of current host system
bin/kenv/kenv.1|kenv|bin/kenv|kenv|list or modify the kernel environment
bin/kill/kill.1|kill|bin/kill|kill|terminate or signal a process
bin/ln/ln.1|ln|bin/ln|ln, link|link files
bin/ln/symlink.7|symlink.7|bin/ln|symlink|symbolic link handling
bin/ls/ls.1|ls|bin/ls|ls|list directory contents
bin/mkdir/mkdir.1|mkdir|bin/mkdir|mkdir|make directories
bin/mv/mv.1|mv|bin/mv|mv|move files
bin/nproc/nproc.1|nproc|bin/nproc|nproc|print the number of processors
bin/pax/pax.1|pax|bin/pax|pax|read and write file archives and copy directory hierarchies
bin/pkill/pkill.1|pkill|bin/pkill|pgrep, pkill|find or signal processes by name
bin/ps/ps.1|ps|bin/ps|NAMEps|process status
bin/pwait/pwait.1|pwait|bin/pwait|pwait|wait for processes to terminate
bin/pwd/pwd.1|pwd|bin/pwd|pwd|return working directory name
bin/realpath/realpath.1|realpath|bin/realpath|realpath|return resolved physical path
bin/rmdir/rmdir.1|rmdir|bin/rmdir|rmdir|remove directories
