lib/atf/libatf-c++/Makefile.depend|libatf-c++|lib/atf/libatf-c++|libatf-c++|Library missing description
lib/atf/libatf-c/Makefile.depend|libatf-c|lib/atf/libatf-c|libatf-c|Library missing description
lib/clang/libclang/Makefile.depend|libclang|lib/clang/libclang|libclang|Library missing description
lib/clang/liblldb/Makefile.depend|liblldb|lib/clang/liblldb|liblldb|Library missing description
lib/clang/libllvm/Makefile.depend|libllvm|lib/clang/libllvm|libllvm|Library missing description
lib/clang/libllvmminimal/Makefile.depend|libllvmminimal|lib/clang/libllvmminimal|libllvmminimal|Library missing description
lib/csu/aarch64/Makefile.depend|aarch64|lib/csu/aarch64|aarch64|Library missing description
lib/csu/amd64/Makefile.depend|amd64|lib/csu/amd64|amd64|Library missing description
lib/csu/arm/Makefile.depend|arm|lib/csu/arm|arm|Library missing description
lib/csu/i386/Makefile.depend|i386|lib/csu/i386|i386|Library missing description
lib/csu/Makefile.depend|csu|lib/csu|csu|Library missing description
lib/csu/powerpc64/Makefile.depend|powerpc64|lib/csu/powerpc64|powerpc64|Library missing description
lib/csu/powerpc/Makefile.depend|powerpc|lib/csu/powerpc|powerpc|Library missing description
lib/csu/riscv/Makefile.depend|riscv|lib/csu/riscv|riscv|Library missing description
lib/lib80211/Makefile.depend|lib80211|lib/lib80211|lib80211|Library missing description
lib/libalias/libalias/Makefile.depend|libalias|lib/libalias/libalias|libalias|Library missing description
lib/libalias/modules/dummy/Makefile.depend|dummy|lib/libalias/modules/dummy|dummy|Library missing description
lib/libalias/modules/ftp/Makefile.depend|ftp|lib/libalias/modules/ftp|ftp|Library missing description
lib/libalias/modules/irc/Makefile.depend|irc|lib/libalias/modules/irc|irc|Library missing description
lib/libalias/modules/nbt/Makefile.depend|nbt|lib/libalias/modules/nbt|nbt|Library missing description
lib/libalias/modules/pptp/Makefile.depend|pptp|lib/libalias/modules/pptp|pptp|Library missing description
lib/libalias/modules/skinny/Makefile.depend|skinny|lib/libalias/modules/skinny|skinny|Library missing description
lib/libalias/modules/smedia/Makefile.depend|smedia|lib/libalias/modules/smedia|smedia|Library missing description
lib/libbearssl/Makefile.depend|libbearssl|lib/libbearssl|libbearssl|Library missing description
lib/libbegemot/Makefile.depend|libbegemot|lib/libbegemot|libbegemot|Library missing description
lib/libbe/Makefile.depend|libbe|lib/libbe|libbe|Library missing description
lib/libblocklist/Makefile.depend|libblocklist|lib/libblocklist|libblocklist|Library missing description
